name,price,link
"Palit GeForce GTX 1050 StormX (NE5105001841-1070F)
",4 396,hotline.ua/computer-videokarty/palit-geforce-gtx-1050-stormx-ne5105001841-1070f/
"ASUS TUF 3-RX5600XT-O6G-EVO-GAMING
",23 999,hotline.ua/computer-videokarty/asus-tuf-3-rx5600xt-o6g-evo-gaming/
"AFOX GeForce GT 710 1Gb (AF710-1024D3L8-V2)
",1 106,hotline.ua/computer-videokarty/afox-geforce-gt-710-1gb-af710-1024d3l8-v2/
"PNY Quadro P2200 (VCQP2200-PB)
",20 285,hotline.ua/computer-videokarty/pny-quadro-p2200-vcqp2200-pb/
"AFOX GeForce GT 610 2 GB (AF610-2048D3L7-V6)
",1 100,hotline.ua/computer-videokarty/afox-geforce-gt-610-2-gb-af610-2048d3l7-v6/
"AFOX GeForce GT 730 2GB (AF730-2048D3L6)
",2 187,hotline.ua/computer-videokarty/afox-geforce-gt-730-2gb-af730-2048d3l6/
"HP Quadro P400 Graphics (1ME43AA)
",3 582,hotline.ua/computer-videokarty/hp-quadro-p400-graphics-1me43aa/
"ASUS GT1030-2G-BRK
",2 794,hotline.ua/computer-videokarty/asus-gt1030-2g-brk/
"Palit GeForce GT 1030 (NE5103000646-1080F)
",2 687,hotline.ua/computer-videokarty/palit-geforce-gt-1030-ne5103000646-1080f/
"ASUS R7240-2GD5-L
",2 599,hotline.ua/computer-videokarty/asus-r7240-2gd5-l/
"AFOX GeForce GT 710 2 GB (AF710-2048D3L7)
",1 410,hotline.ua/computer-videokarty/afox-geforce-gt-710-2-gb-af710-2048d3l7/
"PowerColor Radeon RX 580 Red Devil (AXRX 580 8GBD5-3DH/OC)
",17 999,hotline.ua/computer-videokarty/powercolor-radeon-rx-580-red-devil-axrx-580-8gbd5-3dhoc/
"GIGABYTE GeForce GT 710 (GV-N710D3-2GL)
",1 676,hotline.ua/computer-videokarty/gigabyte-geforce-gt-710-gv-n710d3-2gl/
"GIGABYTE GV-N730D5-2GL
",2 220,hotline.ua/computer-videokarty/gigabyte-gv-n730d5-2gl/
"Sapphire Radeon RX 5700 XT Pulse (11293-01)
",36 225,hotline.ua/computer-videokarty/sapphire-radeon-rx-5700-xt-pulse-11293-01/
"AFOX GeForce G210 1GB (AF210-1024D2LG2-V7)
",1 260,hotline.ua/computer-videokarty/afox-geforce-g210-1gb-af210-1024d2lg2-v7/
"PNY Quadro RTX 5000 (VCQRTX5000-PB)
",81 876,hotline.ua/computer-videokarty/pny-quadro-rtx-5000-vcqrtx5000-pb/
"ASUS GT710-SL-2GD5-BRK
",1 893,hotline.ua/computer-videokarty/asus-gt710-sl-2gd5-brk/
"Dell Quadro RTX 5000 (490-BFDB)
",57 226,hotline.ua/computer-videokarty/dell-quadro-rtx-5000-490-bfdb/
"AFOX GeForce GTX 1050 Ti V2 (AF1050TI-4096D5H2)
",7 499,hotline.ua/computer-videokarty/afox-geforce-gtx-1050-ti-v2-af1050ti-4096d5h2/
"ASUS DUAL-RTX2080TI-A11G
",34 699,hotline.ua/computer-videokarty/asus-dual-rtx2080ti-a11g/
"AMD Radeon HD 8490 1 GB DDR3 (71219811H0G)
",455,hotline.ua/computer-videokarty/amd-radeon-hd-8490-1-gb-ddr3-71219811h0g/
"HP NVIDIA Quadro P620 (3ME25AA)
",5 625,hotline.ua/computer-videokarty/hp-nvidia-quadro-p620-3me25aa/
"Dell Quadro P6000 (490-BDPE)
",90 227,hotline.ua/computer-videokarty/dell-quadro-p6000-490-bdpe/
"Dell Quadro RTX 4000 (490-BFCY)
",30 649,hotline.ua/computer-videokarty/dell-quadro-rtx-4000-490-bfcy/
"ASUS GT710-SL-1GD5
",1 389,hotline.ua/computer-videokarty/asus-gt710-sl-1gd5/
"PNY Quadro P620 (VCQP620V2-PB)
",6 472,hotline.ua/computer-videokarty/pny-quadro-p620-vcqp620v2-pb/
"Dell NVIDIA Quadro P620 (490-BEQV)
",5 660,hotline.ua/computer-videokarty/dell-nvidia-quadro-p620-490-beqv/
"Palit GeForce GT 710 (NEAT7100HD46)
",1 537,hotline.ua/computer-videokarty/palit-geforce-gt-710-neat7100hd46/
"PNY Quadro RTX 4000 (VCQRTX4000-BSP)
",31 082,hotline.ua/computer-videokarty/pny-quadro-rtx-4000-vcqrtx4000-bsp/
"PNY Quadro RTX 5000 (VCQRTX5000-BSP)
",80 827,hotline.ua/computer-videokarty/pny-quadro-rtx-5000-vcqrtx5000-bsp/
"HP Quadro RTX 5000 (5JH81AA)
",65 787,hotline.ua/computer-videokarty/hp-quadro-rtx-5000-5jh81aa/
"Palit GeForce GT730 2 GB (NEAT7300HD46)
",2 043,hotline.ua/computer-videokarty/palit-geforce-gt730-2-gb-neat7300hd46/
"AFOX Radeon HD 5450 2 GB (AF5450-2048D3L5)
",1 170,hotline.ua/computer-videokarty/afox-radeon-hd-5450-2-gb-af5450-2048d3l5/
"ASUS ROG-STRIX-RTX2070S-O8G-GAMING
",29 999,hotline.ua/computer-videokarty/asus-rog-strix-rtx2070s-o8g-gaming/
"AFOX GeForce GT 730 2 GB (AF730-2048D3L7)
",1 804,hotline.ua/computer-videokarty/afox-geforce-gt-730-2-gb-af730-2048d3l7/
"Dell Quadro P400 (490-BDTB)
",3 705,hotline.ua/computer-videokarty/dell-quadro-p400-490-bdtb/
"GIGABYTE GeForce GT730 GV-N730-2GI
",2 925,hotline.ua/computer-videokarty/gigabyte-geforce-gt730-gv-n730-2gi/
"HP Quadro M4000 (M6V52AA)
",44 613,hotline.ua/computer-videokarty/hp-quadro-m4000-m6v52aa/
"GIGABYTE GV-N210D3-1GI
",1 376,hotline.ua/computer-videokarty/gigabyte-gv-n210d3-1gi/
"PowerColor Radeon RX 580 Red Dragon (AXRX 580 8GBD5-3DHDV2/OC)
",17 999,hotline.ua/computer-videokarty/powercolor-radeon-rx-580-red-dragon-axrx-580-8gbd5-3dhdv2oc/
"MSI GeForce GT 730 N730K-2GD3H/LP
",2 235,hotline.ua/computer-videokarty/msi-geforce-gt-730-n730k-2gd3hlp/
"MSI GeForce GT 1030 2G LP OCV1
",2 822,hotline.ua/computer-videokarty/msi-geforce-gt-1030-2g-lp-ocv1/
"PNY Quadro P620 (VCQP620-SB)
",5 773,hotline.ua/computer-videokarty/pny-quadro-p620-vcqp620-sb/
"AFOX GeForce G210 1 GB (AF210-1024D2LG2)
",1 447,hotline.ua/computer-videokarty/afox-geforce-g210-1-gb-af210-1024d2lg2/
"MSI RX 470 MINER 4G
",6 999,hotline.ua/computer-videokarty/msi-rx-470-miner-4g/
"AFOX GeForce GT 710 2 GB (AF710-2048D3L5-V3)
",1 685,hotline.ua/computer-videokarty/afox-geforce-gt-710-2-gb-af710-2048d3l5-v3/
"HIS HD5450 Silence 1GB H545HR1G
",1 086,hotline.ua/computer-videokarty/his_hd5450_silence_1gb_h545hr1g/
"INNO3D GeForce GT 710 (N710-1SDV-D3BX)
",1 226,hotline.ua/computer-videokarty/inno3d-geforce-gt-710-n710-1sdv-d3bx/
"MSI GeForce GTX 1650 AERO ITX 4G OC
",8 540,hotline.ua/computer-videokarty/msi-geforce-gtx-1650-aero-itx-4g-oc/
"PNY Quadro P400V2 (VCQP400V2-SB)
",3 772,hotline.ua/computer-videokarty/pny-quadro-p400v2-vcqp400v2-sb/
"AFOX GeForce GT 730 1GB (AF730-1024D3L7-V1)
",1 718,hotline.ua/computer-videokarty/afox-geforce-gt-730-1gb-af730-1024d3l7-v1/
"HP NVIDIA Quadro P1000 (1ME01AA)
",12 489,hotline.ua/computer-videokarty/hp-nvidia-quadro-p1000-1me01aa/
"ASUS GT730-SL-2G-BRK-V2
",1 999,hotline.ua/computer-videokarty/asus-gt730-sl-2g-brk-v2/
"GIGABYTE GV-N210D3-1GI V6.0
",1 431,hotline.ua/computer-videokarty/gigabyte-gv-n210d3-1gi-v60/
"AFOX GeForce G210 1 GB (AF210-1024D3L5-V2)
",1 030,hotline.ua/computer-videokarty/afox-geforce-g210-1-gb-af210-1024d3l5-v2/
"ASUS GT710-SL-1GD5-BRK
",1 384,hotline.ua/computer-videokarty/asus-gt710-sl-1gd5-brk/
"HP NVS 510 2 GB GFX (C2J98AA)
",14 478,hotline.ua/computer-videokarty/nvidia-nvs-510-2-gb-gfx-c2j98aa/
"PNY GT 1030 2 GB GDDR5 (GF1030GTLF2GEPB)
",4 378,hotline.ua/computer-videokarty/pny-gt-1030-2-gb-gddr5-gf1030gtlf2gepb/
"PNY Quadro P400 (VCQP400DVIV2-PB)
",4 272,hotline.ua/computer-videokarty/pny-quadro-p400-vcqp400dviv2-pb/
"GIGABYTE GeForce GTX 1650 D6 OC Low Profile 4G (GV-N1656OC-4GL)
",8 276,hotline.ua/computer-videokarty/gigabyte-geforce-gtx-1650-d6-oc-low-profile-4g-gv-n1656oc-4gl/
"AFOX Radeon HD 6450 2 GB (AF6450-2048D3L9-V2)
",1 306,hotline.ua/computer-videokarty/afox-radeon-hd-6450-2-gb-af6450-2048d3l9-v2/
"HP Quadro K4000 3GB (C2J94AA)
",40 337,hotline.ua/computer-videokarty/nvidia-quadro-k4000-3gb-c2j94aa/
"MSI GeForce RTX 2070 AERO ITX 8G
",28 999,hotline.ua/computer-videokarty/msi-geforce-rtx-2070-aero-itx-8g/
"ASUS PH-GTX1650-O4GD6
",10 220,hotline.ua/computer-videokarty/asus-ph-gtx1650-o4gd6/
"AFOX AF1050-2048D5H7
",6 214,hotline.ua/computer-videokarty/afox-af1050-2048d5h7/
"MSI GT 710 2GD3 LP
",1 975,hotline.ua/computer-videokarty/msi-gt-710-2gd3-lp/
"PNY Quadro P1000V2 (VCQP1000V2-SB)
",11 680,hotline.ua/computer-videokarty/pny-quadro-p1000v2-vcqp1000v2-sb/
"Gainward GT730 2 GB (426018336-3224)
",1 836,hotline.ua/computer-videokarty/gainward-gt730-2-gb-426018336-3224/
"MSI GT 710 1GD3 LP
",1 675,hotline.ua/computer-videokarty/msi-gt-710-1gd3-lp/
"PNY Quadro P400 (VCQP400V2-PB)
",6 732,hotline.ua/computer-videokarty/pny-quadro-p400-vcqp400v2-pb/
"AFOX GeForce GT 610 1 GB (AF610-2048D3L7)
",1 162,hotline.ua/computer-videokarty/afox-af610-2048d3l7/
"AFOX Radeon R5 230 2 GB (AFR5230-2048D3L4)
",1 102,hotline.ua/computer-videokarty/afox-radeon-r5-230-2-gb-afr5230-2048d3l4/
"PNY NVIDIA Quadro P4000 (VCQP4000-PB)
",43 528,hotline.ua/computer-videokarty/pny-nvidia-quadro-p4000-vcqp4000-pb/
"Zotac GeForce GT 1030 2GB (ZT-P10300A-10L)
",3 056,hotline.ua/computer-videokarty/zotac-geforce-gt-1030-2gb-zt-p10300a-10l/
"HP Radeon Pro WX 4100 (Z0B15AA)
",20 741,hotline.ua/computer-videokarty/hp-radeon-pro-wx-4100-z0b15aa/
"AFOX Radeon R5 230 2 GB (AFR5230-2048D3L9-V2)
",1 306,hotline.ua/computer-videokarty/afox-radeon-r5-230-2-gb-afr5230-2048d3l9-v2/
"AFOX AF1050-2048D5H7
",6 214,hotline.ua/computer-videokarty/afox-af1050-2048d5h7/
"MSI GT 710 2GD3 LP
",1 975,hotline.ua/computer-videokarty/msi-gt-710-2gd3-lp/
"PNY Quadro P1000V2 (VCQP1000V2-SB)
",11 680,hotline.ua/computer-videokarty/pny-quadro-p1000v2-vcqp1000v2-sb/
"ASUS GT610-SL-1GD3-L
",5 623,hotline.ua/computer-videokarty/asus-gt610-sl-1gd3-l/
"ASUS R5230-SL-1GD3-L
",1 596,hotline.ua/computer-videokarty/asus-r5230-sl-1gd3-l/
"PNY NVIDIA Quadro P2000 (VCQP2000-PB)
",23 382,hotline.ua/computer-videokarty/pny-nvidia-quadro-p2000-vcqp2000-pb/
"HP NVIDIA Quadro P2000 (1ME41AA)
",12 594,hotline.ua/computer-videokarty/hp-nvidia-quadro-p2000-1me41aa/
"PNY Quadro P1000 v2 (VCQP1000V2-PB)
",16 832,hotline.ua/computer-videokarty/pny-quadro-p1000-v2-vcqp1000v2-pb/
"PNY GeForce GT 710 (GF710GTLH1GEPB)
",2 858,hotline.ua/computer-videokarty/pny-geforce-gt-710-gf710gtlh1gepb/
"ASUS EAH5450 SILENT/DI/1GD3(LP)
",4 512,hotline.ua/computer-videokarty/asus_eah5450_silentdi1gd3lp/
"INNO3D GeForce GT730 2 GB (N730-1SDV-E3BX)
",2 178,hotline.ua/computer-videokarty/inno3d-geforce-gt730-1-gb-n730-1sdv-e3bx/
"HP Quadro K2200 (J3G88AA)
",12 963,hotline.ua/computer-videokarty/nvidia-quadro-k2200-j3g88aa/
"Gainward GeForce GT 710 (4260183363576)
",3 900,hotline.ua/computer-videokarty/gainward-geforce-gt-710-4260183363576/
"Palit GeForce GT 730 2048MB GDDR5 (NE5T7300HD46-2087F)
",2 093,hotline.ua/computer-videokarty/palit-geforce-gt-730-2048mb-gddr5-ne5t7300hd46-2087f/
"AFOX GeForce GT 1030 (AF1030-2048D5L5)
",2 866,hotline.ua/computer-videokarty/afox-geforce-gt-1030-af1030-2048d5l5/
"PNY Quadro K420 (VCQK420-2GB-PB)
",3 735,hotline.ua/computer-videokarty/pny-quadro-k420-vcqk420-2gb-pb/
"PNY Quadro P400 (VCQP400DVI-PB)
",6 494,hotline.ua/computer-videokarty/pny-quadro-p400-vcqp400dvi-pb/
"PNY Quadro P620 (VCQP620V2-SB)
",6 275,hotline.ua/computer-videokarty/pny-quadro-p620-vcqp620v2-sb/
"HP Quadro K5000 4GB (C2J95AA)
",36 667,hotline.ua/computer-videokarty/nvidia-quadro-k5000-4gb-c2j95aa/
"INNO3D GeForce GT730 1 GB (N730-1SDV-D3BX)
",2 052,hotline.ua/computer-videokarty/inno3d-geforce-gt730-1-gb-n730-1sdv-d3bx/
"ASUS GT610-SL-1GD3-L
",5 623,hotline.ua/computer-videokarty/asus-gt610-sl-1gd3-l/
"ASUS R5230-SL-1GD3-L
",1 596,hotline.ua/computer-videokarty/asus-r5230-sl-1gd3-l/
"PNY NVIDIA Quadro P2000 (VCQP2000-PB)
",23 382,hotline.ua/computer-videokarty/pny-nvidia-quadro-p2000-vcqp2000-pb/
"HP NVIDIA Quadro P2000 (1ME41AA)
",12 594,hotline.ua/computer-videokarty/hp-nvidia-quadro-p2000-1me41aa/
"PNY Quadro P1000 v2 (VCQP1000V2-PB)
",16 832,hotline.ua/computer-videokarty/pny-quadro-p1000-v2-vcqp1000v2-pb/
