link,name,price
hotline.ua/computer-videokarty/gigabyte-radeon-rx-5500-xt-d6-8g-gv-r55xtd6-8gd/,GIGABYTE Radeon RX 5500 XT D6 8G (GV-R55XTD6-8GD),20 836
hotline.ua/computer-videokarty/afox-geforce-gt-220-1-gb-af220-1024d3l2/,AFOX GeForce GT 220 1 GB (AF220-1024D3L2),1 021
hotline.ua/computer-videokarty/asus-ex-gtx1050ti-o4g/,ASUS EX-GTX1050TI-O4G,6 292
hotline.ua/computer-videokarty/afox-geforce-g210-1gb-af210-1024d2lg2-v7/,AFOX GeForce G210 1GB (AF210-1024D2LG2-V7),951
hotline.ua/computer-videokarty/asus-gt1030-sl-2g-brk/,ASUS GT1030-SL-2G-BRK,2 742
hotline.ua/computer-videokarty/asus-rog-strix-rx5700xt-o8g-gaming/,ASUS ROG-STRIX-RX5700XT-O8G-GAMING,42 445
hotline.ua/computer-videokarty/pny-quadro-rtx-4000-vcqrtx4000-pb/,PNY Quadro RTX 4000 (VCQRTX4000-PB),32 504
hotline.ua/computer-videokarty/asus-gt710-4h-sl-2gd5/,ASUS GT710-4H-SL-2GD5,1 843
hotline.ua/computer-videokarty/gigabyte-gv-n730d5-2gl/,GIGABYTE GV-N730D5-2GL,2 289
hotline.ua/computer-videokarty/msi-geforce-gtx-1650-super-ventus-xs-oc/,MSI GeForce GTX 1650 SUPER VENTUS XS OC,18 550
hotline.ua/computer-videokarty/amd-radeon-hd-8490-1-gb-ddr3-71219811h0g/,AMD Radeon HD 8490 1 GB DDR3 (71219811H0G),458
hotline.ua/computer-videokarty/gigabyte-geforce-gt-710-gv-n710d3-2gl/,GIGABYTE GeForce GT 710 (GV-N710D3-2GL),1 636
hotline.ua/computer-videokarty/palit-geforce-gtx-1050-stormx-ne5105001841-1070f/,Palit GeForce GTX 1050 StormX (NE5105001841-1070F),4 351
hotline.ua/computer-videokarty/asus-cerberus-gtx1050ti-a4g/,ASUS CERBERUS-GTX1050TI-A4G,7 770
hotline.ua/computer-videokarty/pny-quadro-rtx-4000-vcqrtx4000-bsp/,PNY Quadro RTX 4000 (VCQRTX4000-BSP),30 474
hotline.ua/computer-videokarty/asus-rtx3070-8g-ek/,ASUS RTX3070-8G-EK,46 999
hotline.ua/computer-videokarty/gigabyte-geforce-gtx-1660-super-mini-itx-oc-6g-gv-n166sixoc-6gd/,GIGABYTE GeForce GTX 1660 SUPER MINI ITX OC 6G (GV-N166SIXOC-6GD),17 767
hotline.ua/computer-videokarty/asus-strix-gtx980-dc2-4gd5/,ASUS STRIX-GTX980-DC2-4GD5,8 454
hotline.ua/computer-videokarty/gigabyte-geforce-gt730-gv-n730d5oc-1gi/,GIGABYTE GeForce GT730 GV-N730D5OC-1GI,1 502
hotline.ua/computer-videokarty/zotac-gaming-geforce-gtx-1650-amp-zt-t16520d-10l/,Zotac GAMING GeForce GTX 1650 AMP (ZT-T16520D-10L),8 999
hotline.ua/computer-videokarty/msi-geforce-gtx-1650-gaming-x-4g/,MSI GeForce GTX 1650 GAMING X 4G,13 999
hotline.ua/computer-videokarty/afox-geforce-gt-710-2-gb-af710-2048d3l7/,AFOX GeForce GT 710 2 GB (AF710-2048D3L7),1 415
hotline.ua/computer-videokarty/manli-geforce-5500-128-mb-md55cdat/,Manli GeForce 5500 128 MB (MD55CDAT),558
hotline.ua/computer-videokarty/manli-geforce-5500-128-mb-md55cdat/,Manli GeForce 5500 128 MB (MD55CDAT),558
hotline.ua/computer-videokarty/afox-geforce-gt-710-2-gb-af710-2048d3l5-v3/,AFOX GeForce GT 710 2 GB (AF710-2048D3L5-V3),1 645
hotline.ua/computer-videokarty/hp-nvidia-quadro-p620-3me25aa/,HP NVIDIA Quadro P620 (3ME25AA),8 155
hotline.ua/computer-videokarty/hp-quadro-rtx-4000-5jv89aa/,HP Quadro RTX 4000 (5JV89AA),34 893
hotline.ua/computer-videokarty/gigabyte-geforce-gtx980-gv-n980wf3oc-4gd/,GIGABYTE GeForce GTX980 GV-N980WF3OC-4GD,8 091
hotline.ua/computer-videokarty/hp-quadro-p400-graphics-1me43aa/,HP Quadro P400 Graphics (1ME43AA),3 491
hotline.ua/computer-videokarty/afox-radeon-r5-220-2-gb-afr5220-2048d3l4/,AFOX Radeon R5 220 2 GB (AFR5220-2048D3L4),923
hotline.ua/computer-videokarty/pny-quadro-rtx-5000-vcqrtx5000-bsp/,PNY Quadro RTX 5000 (VCQRTX5000-BSP),79 208
hotline.ua/computer-videokarty/palit-geforce-gt-730-2048mb-gddr5-ne5t7300hd46-2087f/,Palit GeForce GT 730 2048MB GDDR5 (NE5T7300HD46-2087F),2 575
hotline.ua/computer-videokarty/afox-geforce-gt-730-2gb-af730-2048d3l6/,AFOX GeForce GT 730 2GB (AF730-2048D3L6),2 159
hotline.ua/computer-videokarty/nvidia-quadro-k5000-4gb-c2j95aa/,HP Quadro K5000 4GB (C2J95AA),36 852
hotline.ua/computer-videokarty/afox-geforce-gt-1030-af1030-2048d5l5/,AFOX GeForce GT 1030 (AF1030-2048D5L5),2 819
hotline.ua/computer-videokarty/asus-gt710-sl-2gd5/,ASUS GT710-SL-2GD5,1 769
hotline.ua/computer-videokarty/asus-r7240-2gd5-l/,ASUS R7240-2GD5-L,2 700
hotline.ua/computer-videokarty/afox-geforce-gt-610-2-gb-af610-2048d3l7-v6/,AFOX GeForce GT 610 2 GB (AF610-2048D3L7-V6),1 196
hotline.ua/computer-videokarty/afox-geforce-gt-710-1gb-af710-1024d3l8-v2/,AFOX GeForce GT 710 1Gb (AF710-1024D3L8-V2),1 050
hotline.ua/computer-videokarty/palit-geforce-gtx-1050-ti-dual-oc-ne5105ts18g1-1071d/,Palit GeForce GTX 1050 Ti Dual OC (NE5105TS18G1-1071D),5 994
hotline.ua/computer-videokarty/colorful-geforce-gt-710-2gb-gt-710-2gd3-v/,Colorful GeForce GT 710 2GB (GT710-2GD3-V),1 317
hotline.ua/computer-videokarty/msi-geforce-gt-710-h2d-2gb-gt-710-2gd3h-h2d/,MSI GeForce GT 710 H2D 2GB (GT 710 2GD3H H2D),1 650
hotline.ua/computer-videokarty/asus-gt710-sl-2gd5-brk/,ASUS GT710-SL-2GD5-BRK,1 831
hotline.ua/computer-videokarty/hp-quadro-rtx-5000-5jh81aa/,HP Quadro RTX 5000 (5JH81AA),72 250
hotline.ua/computer-videokarty/afox-radeon-r5-230-2-gb-afr5230-2048d3l9-v2/,AFOX Radeon R5 230 2 GB (AFR5230-2048D3L9-V2),1 298
hotline.ua/computer-videokarty/asus-rog-strix-rtx3060-o12g-gaming/,ASUS ROG-STRIX-RTX3060-O12G-GAMING,38 499
hotline.ua/computer-videokarty/hp-radeon-pro-wx-4100-z0b15aa/,HP Radeon Pro WX 4100 (Z0B15AA),20 845
hotline.ua/computer-videokarty/msi-geforce-gt-730-n730k-2gd3hlp/,MSI GeForce GT 730 N730K-2GD3H/LP,2 200
hotline.ua/computer-videokarty/asus-tuf-gtx1660-o6g-gaming/,ASUS TUF-GTX1660-O6G-GAMING,16 709
hotline.ua/computer-videokarty/afox-geforce-g210-1-gb-af210-1024d3l5-v2/,AFOX GeForce G210 1 GB (AF210-1024D3L5-V2),1 031
hotline.ua/computer-videokarty/afox-radeon-r5-230-2-gb-afr5230-2048d3l4/,AFOX Radeon R5 230 2 GB (AFR5230-2048D3L4),1 083
hotline.ua/computer-videokarty/his_hd5450_silence_1gb_h545hr1g/,HIS HD5450 Silence 1GB H545HR1G,1 086
hotline.ua/computer-videokarty/pny-quadro-k420-vcqk420-2gb-pb/,PNY Quadro K420 (VCQK420-2GB-PB),3 735
hotline.ua/computer-videokarty/pny-quadro-rtx-5000-vcqrtx5000-pb/,PNY Quadro RTX 5000 (VCQRTX5000-PB),80 138
hotline.ua/computer-videokarty/afox-radeon-hd-6450-2-gb-af6450-2048d3l9-v2/,AFOX Radeon HD 6450 2 GB (AF6450-2048D3L9-V2),1 298
hotline.ua/computer-videokarty/matrox-m9148-m9148-e1024laf/,Matrox M9148 (M9148-E1024LAF),20 571
hotline.ua/computer-videokarty/gainward-geforce-rtx3070-phoenix-471056224-1990/,Gainward GeForce RTX3070 Phoenix (471056224-1990),48 385
hotline.ua/computer-videokarty/gigabyte-gv-n210d3-1gi/,GIGABYTE GV-N210D3-1GI,1 387
hotline.ua/computer-videokarty/nvidia-quadro-k2200-j3g88aa/,HP Quadro K2200 (J3G88AA),13 028
hotline.ua/computer-videokarty/hp-nvidia-quadro-p1000-1me01aa/,HP NVIDIA Quadro P1000 (1ME01AA),12 555
hotline.ua/computer-videokarty/asus-gt610-sl-1gd3-l/,ASUS GT610-SL-1GD3-L,5 651
hotline.ua/computer-videokarty/gigabyte-geforce-gt730-gv-n730-2gi/,GIGABYTE GeForce GT730 GV-N730-2GI,2 925
hotline.ua/computer-videokarty/asus_eah5450_silentdi1gd3lp/,ASUS EAH5450 SILENT/DI/1GD3(LP),4 535
hotline.ua/computer-videokarty/hp-quadro-m4000-m6v52aa/,HP Quadro M4000 (M6V52AA),44 838
hotline.ua/computer-videokarty/zotac-geforce-gtx-1060-3gb-amp-edition-zt-p10610e-10m/,Zotac GeForce GTX 1060 3GB AMP! Edition (ZT-P10610E-10M),5 880
hotline.ua/computer-videokarty/asus-dual-gtx1650-o4g/,ASUS DUAL-GTX1650-O4G,11 144
hotline.ua/computer-videokarty/dell-quadro-rtx-4000-490-bfcy/,Dell Quadro RTX 4000 (490-BFCY),31 637
hotline.ua/computer-videokarty/palit-geforce-gtx-1060-super-jetstream-ne51060s15j9-1060j/,Palit GeForce GTX 1060 Super JetStream (NE51060S15J9-1060J),11 175
hotline.ua/computer-videokarty/msi-geforce-gt-1030-2g-lp-oc/,MSI GeForce GT 1030 2G LP OC,2 822
hotline.ua/computer-videokarty/nvidia-nvs-510-2-gb-gfx-c2j98aa/,HP NVS 510 2 GB GFX (C2J98AA),14 551
hotline.ua/computer-videokarty/zotac-geforce-gt-710-zt-71302-20l/,Zotac GeForce GT 710 (ZT-71302-20L),1 399
hotline.ua/computer-videokarty/asus-210-1gd3-l/,ASUS 210-1GD3-L,1 070
hotline.ua/computer-videokarty/inno3d-geforce-gt-710-n710-1sdv-d3bx/,INNO3D GeForce GT 710 (N710-1SDV-D3BX),1 265
hotline.ua/computer-videokarty/afox-geforce-g210-1-gb-af210-1024d2lg2/,AFOX GeForce G210 1 GB (AF210-1024D2LG2),902
hotline.ua/computer-videokarty/palit-geforce-gtx-1060-super-jetstream-ne51060s15j9-1060j/,Palit GeForce GTX 1060 Super JetStream (NE51060S15J9-1060J),11 175
hotline.ua/computer-videokarty/msi-geforce-gt-1030-2g-lp-oc/,MSI GeForce GT 1030 2G LP OC,2 822
hotline.ua/computer-videokarty/nvidia-nvs-510-2-gb-gfx-c2j98aa/,HP NVS 510 2 GB GFX (C2J98AA),14 551
hotline.ua/computer-videokarty/zotac-geforce-gt-710-zt-71302-20l/,Zotac GeForce GT 710 (ZT-71302-20L),1 399
hotline.ua/computer-videokarty/nvidia-quadro-k4000-3gb-c2j94aa/,HP Quadro K4000 3GB (C2J94AA),40 540
hotline.ua/computer-videokarty/asus-mining-p104-4g/,ASUS MINING-P104-4G,4 046
hotline.ua/computer-videokarty/dell-quadro-rtx-5000-490-bfdb/,Dell Quadro RTX 5000 (490-BFDB),55 499
hotline.ua/computer-videokarty/msi-geforce-rtx-3060-ventus-2x-12g-oc/,MSI GeForce RTX 3060 VENTUS 2X 12G OC,38 211
hotline.ua/computer-videokarty/inno3d-geforce-gt730-1-gb-n730-1sdv-d3bx/,INNO3D GeForce GT730 1 GB (N730-1SDV-D3BX),2 036
hotline.ua/computer-videokarty/asus-gt710-sl-1gd5/,ASUS GT710-SL-1GD5,1 405
hotline.ua/computer-videokarty/asus-gt730-sl-2g-brk-v2/,ASUS GT730-SL-2G-BRK-V2,1 999
hotline.ua/computer-videokarty/dell-quadro-p6000-490-bdpe/,Dell Quadro P6000 (490-BDPE),88 657
hotline.ua/computer-videokarty/afox-af610-2048d3l7/,AFOX GeForce GT 610 1 GB (AF610-2048D3L7),1 150
hotline.ua/computer-videokarty/gigabyte-gv-n710d5sl-2gl/,GIGABYTE GV-N710D5SL-2GL,1 767
hotline.ua/computer-videokarty/msi-gt-710-2gd3-lp/,MSI GT 710 2GD3 LP,1 975
hotline.ua/computer-videokarty/inno3d-geforce-gt730-1-gb-n730-1sdv-e3bx/,INNO3D GeForce GT730 2 GB (N730-1SDV-E3BX),2 145
hotline.ua/computer-videokarty/afox-radeon-hd-5450-2-gb-af5450-2048d3l5/,AFOX Radeon HD 5450 2 GB (AF5450-2048D3L5),1 151
hotline.ua/computer-videokarty/palit-geforce-gt-710-neat7100hd46/,Palit GeForce GT 710 (NEAT7100HD46),1 514
hotline.ua/computer-videokarty/msi-gt-710-1gd3-lp/,MSI GT 710 1GD3 LP,1 600
hotline.ua/computer-videokarty/msi-radeon-rx-570-armor-4g/,MSI Radeon RX 570 ARMOR 4G,10 184
hotline.ua/computer-videokarty/asus-tuf-rx6800-o16g-gaming/,ASUS TUF-RX6800-O16G-GAMING,42 399
hotline.ua/computer-videokarty/gigabyte-radeon-rx-570-4g-aorus-gv-rx570aorus-4gd/,GIGABYTE Radeon RX 570 4G AORUS (GV-RX570AORUS-4GD),11 211
hotline.ua/computer-videokarty/sapphire-radeon-rx-570-4gd5-pulse-itx-11266-34/,Sapphire Radeon RX 570 4GD5 PULSE ITX (11266-34),4 429
hotline.ua/computer-videokarty/afox-geforce-g210-1-gb-af210-1024d3l5/,AFOX GeForce G210 1 GB (AF210-1024D3L5),1 023
hotline.ua/computer-videokarty/msi-radeon-rx-5700-xt-mech-oc/,MSI Radeon RX 5700 XT MECH OC,29 455
hotline.ua/computer-videokarty/gigabyte-gv-n210d3-1gi-v60/,GIGABYTE GV-N210D3-1GI V6.0,1 431
hotline.ua/computer-videokarty/pny-quadro-p400-vcqp400dviv2-pb/,PNY Quadro P400 (VCQP400DVIV2-PB),4 262
hotline.ua/computer-videokarty/asus-r5230-sl-1gd3-l/,ASUS R5230-SL-1GD3-L,1 596
hotline.ua/computer-videokarty/gainward-gt730-2-gb-426018336-3224/,Gainward GT730 2 GB (426018336-3224),1 817
hotline.ua/computer-videokarty/gigabyte-geforce-gt-710-gv-n710d3-1gl/,GIGABYTE GeForce GT 710 (GV-N710D3-1GL),1 269
hotline.ua/computer-videokarty/inno3d-geforce-gt-710-n710-1sdv-e3bx/,INNO3D GeForce GT 710 (N710-1SDV-E3BX),1 613
hotline.ua/computer-videokarty/dell-quadro-p400-490-bdtb/,Dell Quadro P400 (490-BDTB),3 691
hotline.ua/computer-videokarty/asus-210-sl-1gd3-brk/,ASUS 210-SL-1GD3-BRK,4 974
hotline.ua/computer-videokarty/gigabyte-gv-n710d5-1gi/,GIGABYTE GV-N710D5-1GI,1 473
hotline.ua/computer-videokarty/asus-tuf-rx6800-o16g-gaming/,ASUS TUF-RX6800-O16G-GAMING,42 399
hotline.ua/computer-videokarty/palit-geforce-gt-710-neat7100hd46/,Palit GeForce GT 710 (NEAT7100HD46),1 514
hotline.ua/computer-videokarty/msi-gt-710-1gd3-lp/,MSI GT 710 1GD3 LP,1 600
hotline.ua/computer-videokarty/msi-radeon-rx-570-armor-4g/,MSI Radeon RX 570 ARMOR 4G,10 184
